UID,Status,Group,Title,Price,Qty,Title_Issue
431568,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer EUN314A-51W LCD Module ANTI-MICROBIAL BLUE Bezel LCD Panel 14"" Fhd GLARE 2082140JP8048003-51H AM KL.1400I.007 Replacement Laptop LCD LED Screen Display Monitor",520.25,,"Genuine Acer EUN314A-51W LCD Module ANTI-MICROBIAL BLUE W/Bezel LCD Panel 14 FHD GLARE 2082140JP8048003-51H AM KL.1400I.007 Replacement Laptop LCD LED Screen Display Monitor"
431569,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer C27-1655 Cable LCD 30 pin 255MM Replacement Laptop LCD LED Screen Display Monitor",,,"Genuine Acer C27-1655 Cable LCD 30PIN 255MM Replacement Laptop LCD LED Screen Display Monitor"
431570,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer A515-51 LCD Cover Assembly Black IMR Replacement Laptop LCD LED Screen Display Monitor",,,"Genuine Acer A515-51 LCD Cover ASSY Black IMR Replacement Laptop LCD LED Screen Display Monitor"
431571,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer SF314-52 LCD LED Module 14.0"" FHD Non GLARE Included Bezel NON Touch Replacement Laptop LCD LED Screen Display Monitor",291.39,,"Genuine Acer SF314-52 LCD LED Module 14.0 FHD NONE GLARE – FHD INCL. Bezel (NON Touch) Replacement Laptop LCD LED Screen Display Monitor"
431572,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer A515-51 LCD Bezel Assembly Black Replacement Laptop LCD LED Screen Display Monitor",111,,"Genuine Acer A515-51 LCD Bezel ASSY Black Replacement Laptop LCD LED Screen Display Monitor"
431573,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer AN515-51 LCD Bezel Assembly Black Replacement Laptop LCD LED Screen Display Monitor",,,"Genuine Acer AN515-51 LCD Bezel ASSY Black Replacement Laptop LCD LED Screen Display Monitor"
431574,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer G3-571 Cable LCD EDP Replacement Laptop LCD LED Screen Display Monitor",44.73,,
431575,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer A515-54 Cable LCD 40/30/6P 19V Replacement Laptop LCD LED Screen Display Monitor",43.63,,
431576,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer A517-51G Cable LCD EDP Replacement Laptop LCD LED Screen Display Monitor",,,
431577,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer SF314-54 Cable EDP LCD SUPPORT NON-DMIC Board Replacement Laptop LCD LED Screen Display Monitor",32.99,,
,Discard,,"Genuine Acer B276 Cable Panel TO Power Board 6P 180MM Replacement Laptop LCD LED Screen Display Monitor",41.1,,"power board"
431578,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer CB5-312T LCD Cover Assembly W/O ANT AL Silver Replacement Laptop LCD LED Screen Display Monitor",62.99,,"Genuine Acer CB5-312T LCD Cover ASSY W/O ANT AL Silver Replacement Laptop LCD LED Screen Display Monitor"
431579,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer R751TN LCD Cover Assembly W/O ANT Black Replacement Laptop LCD LED Screen Display Monitor",55.96,,"Genuine Acer R751TN LCD Cover ASSY W/O ANT Black Replacement Laptop LCD LED Screen Display Monitor"
431580,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer CB315-1HT LCD Bezel Silver Replacement Laptop LCD LED Screen Display Monitor",,,
431581,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer SP314-51 LCD Cover 14"" Gray W/ LOGO & ANTENNAX2 NEW Replacement Laptop LCD LED Screen Display Monitor",,,"Genuine Acer SP314-51 LCD Cover 14"" Gray W/ ACER LOGO & ANTENNAX2 NEW Replacement Laptop LCD LED Screen Display Monitor"
431582,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer CB315-2H LCD Cover Replacement Laptop LCD LED Screen Display Monitor",52.99,,
431583,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer SP111-33 LCD Cover Assembly Black Replacement Laptop LCD LED Screen Display Monitor",53.54,,"Genuine Acer SP111-33 LCD Cover ASSY Black Replacement Laptop LCD LED Screen Display Monitor"
431584,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer TMP2410-M LCD Bezel Replacement Laptop LCD LED Screen Display Monitor",45.79,,
431585,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer E5-573 LCD LED 15.6W FHD Non GLARE AUO B156HTN03.8 H/W 1B LF 220NIT 8MS 400:1 EDP1.2/TN/3.2MM/LOW COST EC H/W 1B Replacement Laptop LCD LED Screen Display Monitor",82.99,,"Genuine Acer E5-573 LCD LED 15.6W FHD NONE GLARE AUO B156HTN03.8 H/W 1B LF 220NIT 8MS 400:1 (EDP1.2/TN/3.2MM/LOW COST) EC, H/W 1B Replacement Laptop LCD LED Screen Display Monitor"
431586,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer E5-573T LCD LED Touch 15.6W WXGA GLARE AUO B156XTK01.0 LF 200NIT 8MS 500:1 ULTRA-SLIM EDP OTP LITE Replacement Laptop LCD LED Screen Display Monitor",157.27,,"Genuine Acer E5-573T LCD LED Touch 15.6W WXGA GLARE AUO B156XTK01.0 LF 200NIT 8MS 500:1 (ULTRA-SLIM) (EDP) OTP LITE Replacement Laptop LCD LED Screen Display Monitor"
431587,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer A515-52G LCD LED 15.6"" WXGA Non GLARE BOE NT156WHM-N44 V8.0 LF 220NIT 12MS 400:1 EDP 3.2MM MAX NARROW BORDER Replacement Laptop LCD LED Screen Display Monitor",207.64,,"Genuine Acer A515-52G LCD LED 15.6 WXGA NONE GLARE BOE NT156WHM-N44 V8.0 LF 220NIT 12MS 400:1 (EDP,3.2MM MAX, NARROW BORDER) Replacement Laptop LCD LED Screen Display Monitor"
431588,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer VN7-593G LCD LED 15.6W FHD Non GLARE BOE NV156FHM-N43 V8.0 LF 300NIT 30MS 800:1 EDP1.3 IPS Replacement Laptop LCD LED Screen Display Monitor",195.35,,"Genuine Acer VN7-593G LCD LED 15.6W FHD NONE GLARE BOE NV156FHM-N43 V8.0 LF 300NIT 30MS 800:1 EDP1.3, IPS Replacement Laptop LCD LED Screen Display Monitor"
431589,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer E5-523 LCD LED 15.6W WXGA GLARE BOE NT156WHM-N32 LF 220NIT 12MS 500:1 ULTRA-SLIM 3.2MM MAX Replacement Laptop LCD LED Screen Display Monitor",158.78,,"Genuine Acer E5-523 LCD LED 15.6W WXGA GLARE BOE NT156WHM-N32 LF 220NIT 12MS 500:1 (ULTRA-SLIM 3.2MM MAX) Replacement Laptop LCD LED Screen Display Monitor"
431590,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer E5-722 LCD LED 17.3"" WXGA+ GLARE CMI N173FGE-E23 REV.C3 LF 220NIT 10MS 650:1 DIGITAL V-COM EC Replacement Laptop LCD LED Screen Display Monitor",134.8,,"Genuine Acer E5-722 LCD LED 17.3 WXGA+ GLARE CMI N173FGE-E23 REV. C3 LF 220NIT 10MS 650:1 DIGITAL V-COM EC Replacement Laptop LCD LED Screen Display Monitor"
431591,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer A515-43 LCD Cover Assembly AL ANO EH HL Silver W/ADHESIVE*2 Replacement Laptop LCD LED Screen Display Monitor",115.54,,"Genuine Acer A515-43 LCD Cover ASSY AL ANO EH HL Silver W/ADHESIVE*2 Replacement Laptop LCD LED Screen Display Monitor"
431592,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer PH315-52 LCD LED 15.6"" 3.2MM FHD Non GLARE PANDA LM156LFGL03 LF 250NIT 25MS 1000:1 EDP VALUE IPS NARROW BORDER 120HZ Replacement Laptop LCD LED Screen Display Monitor",233.5,,"Genuine Acer PH315-52 LCD LED 15.6 3.2MM FHD NONE GLARE PANDA LM156LFGL03 LF 250NIT 25MS 1000:1 (EDP, VALUE IPS, NARROW BORDER, 120HZ) Replacement Laptop LCD LED Screen Display Monitor"
