UID,Status,Group,Title,Price,Qty,Title_Issue
426596,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","LG LP156WH4(TL)(P2) TN display HD 1366x768 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",60.99,,"LG LP156WH4 (TL)(P2) TN display HD (1366x768) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
426598,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Dell 53DC3 TN display HD 1366x768 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",60.99,,"Dell 53DC3 TN display HD (1366x768) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
426599,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Innolux N156B6-L0B TN display HD 1366x768 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",60.99,,"Innolux N156B6-L0B TN display HD (1366x768) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
426601,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Lenovo 93P5653 TN display HD 1366x768 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",60.99,,"Lenovo 93P5653 TN display HD (1366x768) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
426602,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","LG LP156WH2(TL)(C1) TN display HD 1366x768 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",60.99,,"LG LP156WH2 (TL)(C1) TN display HD (1366x768) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
426604,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","AU Optronics B173RW01 V.2 TN display HD+ 1600x900 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",71.69,,"AU Optronics B173RW01 V.2 TN display HD+ (1600x900) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
426606,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Dell CVW69 TN display HD+ 1600x900 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",71.69,,"Dell CVW69 TN display HD+ (1600x900) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
426607,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","LG LP173WD1(TL)(A3) TN display HD+ 1600x900 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",71.69,,"LG LP173WD1 (TL)(A3) TN display HD+ (1600x900) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
426608,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","LG LP173WD1(TL)(C3) TN display HD+ 1600x900 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",71.69,,"LG LP173WD1 (TL)(C3) TN display HD+ (1600x900) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
426610,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","LG LP173WD1-TLA1 TN display HD+ 1600x900 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",71.69,,"LG LP173WD1-TLA1 TN display HD+ (1600x900) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
426612,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","LG LP173WD1-TLA4 TN display HD+ 1600x900 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",71.69,,"LG LP173WD1-TLA4 TN display HD+ (1600x900) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
