Title_1,Title_2,Part_1,Part_2,Part_3,Model_1,Desc_1,Model_2,Price
Dell 6TH09 TN display HD+ (1600x900) matt 60Hz,Replacement Laptop LCD LED Screen Display Monitor,6TH09,0C00346 0C00317 0C00316 631F4,,"Lenovo ThinkPad T440s (20AQ/20AR) , Lenovo ThinkPad S440 (20AY) , Schenker S405 (W840SN) , HP EliteBook 840 G2 , Lenovo ThinkPad T440 (20B7/20B6) , Lenovo ThinkPad T440s (20AQ/20AR) , Lenovo ThinkPad T440p (20AN/20AW) , Lenovo ThinkPad S440 (20AY) , Clevo W84x , Schenker S405 (W840SN)",,,84.53
Asus 18010-13330100 TN display (1366x768) matt 60Hz,Replacement Laptop LCD LED Screen Display Monitor,18010-13330100,18010-13330100,,"Asus R301UV , Lenovo E31-80 (80MX) , Lenovo IdeaPad U330P , Acer Aspire V3-371 , HP ProBook 430 G3 , Lenovo IdeaPad U330 , Lenovo IdeaPad 500S-13ISK (80Q2) , Lenovo ThinkPad 13 Chromebook (20GL/20GM) , Dell Latitude 13 (3350) , Acer Aspire ES1-332",,,72.76
Lenovo 18200975 TN display (1366x768) matt 60Hz,Replacement Laptop LCD LED Screen Display Monitor,18200975,18200976 18201009 18201010 18201050,,"Asus ZenBook UX303UB , Asus X302LA , Asus Pro Essential PU301LA , Lenovo IdeaPad U330P , Acer Aspire V3-371 , HP ProBook 430 G3 , Lenovo IdeaPad U330 , Lenovo IdeaPad 500S-13ISK (80Q2) , Lenovo ThinkPad 13 Chromebook (20GL/20GM) , Dell Latitude 13 (3350)",,,72.76
Lenovo 5D10H11004 TN display (1366x768) matt 60Hz,Replacement Laptop LCD LED Screen Display Monitor,5D10H11004,5D10H33278,,"Asus ZenBook UX303UB , Asus X302LA , Asus Pro Essential PU301LA , Lenovo IdeaPad U330P , Acer Aspire V3-371 , HP ProBook 430 G3 , Lenovo IdeaPad U330 , Lenovo IdeaPad 500S-13ISK (80Q2) , Lenovo ThinkPad 13 Chromebook (20GL/20GM) , Dell Latitude 13 (3350)",,,72.76
Acer KL.13305.019 TN display (1366x768) matt 60Hz,Replacement Laptop LCD LED Screen Display Monitor,KL.13305.019,KL.13305.019,,"Lenovo IdeaPad U330P , Lenovo IdeaPad 500S-13ISK (80Q2) , Lenovo ThinkPad 13 Chromebook (20GL/20GM) , Acer Aspire V3-372 , HP ProBook 430 G5 , Lenovo IdeaPad U330P , Acer Aspire V3-371 , HP ProBook 430 G3 , Lenovo IdeaPad U330 , Lenovo IdeaPad 500S-13ISK (80Q2)",,,72.76
HP L01077-001 TN display (1366x768) matt 60Hz,Replacement Laptop LCD LED Screen Display Monitor,L01077-001,L01077-001,,"Lenovo IdeaPad U330 , Dell Latitude 13 (3350) , Lenovo IdeaPad U330P , Acer Aspire V3-371 , HP ProBook 430 G3 , Lenovo IdeaPad U330 , Lenovo IdeaPad 500S-13ISK (80Q2) , Lenovo ThinkPad 13 Chromebook (20GL/20GM) , Dell Latitude 13 (3350) , Acer Aspire ES1-332",,,72.76
Samsung LTN133AT29-401 TN display (1366x768) matt 60Hz,Replacement Laptop LCD LED Screen Display Monitor,LTN133AT29-401,LTN133AT29-401,,"HP ProBook 430 G3 , Acer Aspire ES1-332 , Asus Chromebook C300SA , Asus ZenBook UX303LA , Lenovo IdeaPad U330P , Acer Aspire V3-371 , HP ProBook 430 G3 , Lenovo IdeaPad U330 , Lenovo IdeaPad 500S-13ISK (80Q2) , Lenovo ThinkPad 13 Chromebook (20GL/20GM)",,,72.76
Dell 04T17W TN display HD (1366x768) matt 60Hz,Replacement Laptop LCD LED Screen Display Monitor,04T17W,04T17W,,"Asus P452LJ , Asus P453UJ , Lenovo IdeaPad 100-14IBY (80MH/80R7) , Dell Latitude 14 (E5470) , Lenovo V310-14ISK (80SX/80UF) , Asus VivoBook Max X441SA , Asus VivoBook X456UV , HP EliteBook 840 G2 , Asus VivoBook 14 X442UR , Asus ExpertBook P5 P5440FA",,,63.13
LG LP140WH8 (TP)(D1) TN display HD (1366x768) matt 60Hz,Replacement Laptop LCD LED Screen Display Monitor,LP140WH8 (TP)(D1),LP140WH8-TPD1 LP140WH8 (TP)(H1) LP140WH8-TPH1 LP140WH8 (TP)(H2) LP140WH8-TPH2 LP140WH8 (TP)(L1) LP140WH8-TPL1 LP140WH2-TPT1 LP140WH2-TPTH LP140WHU-TPBJ LP140WHU-TPH1,,"Asus P452SA , HP 14q-aj000 , Asus VivoBook 14 X405UR , Lenovo ThinkPad L460 (20FU/20FV) , Asus X453SA , Asus X455WE , Asus VivoBook Max X441SC , Asus VivoBook E402SA , HP 14-ck2000 , Lenovo V330-14ARR (81B1)",,,63.13
Fujitsu CP698897-XX TN display HD (1366x768) matt 60Hz,Replacement Laptop LCD LED Screen Display Monitor,CP698897-XX,CP698905-01 FUJ:CP698897-XX FUJ:CP698905-XX FUJ:CP729650-XX FUJ:CP770486-XX FUJ:CP734911-XX CP809689-XX,,"Lenovo ThinkPad L440 , Asus P452LA , Asus Z450UA , Lenovo IdeaPad 110-14IBR (80T6/80UJ) , Fujitsu LifeBook U747 , HP ProBook 445 G2 , Lenovo IdeaPad 110-14ISK (80UC) , HP Chromebook 14 G4 , Lenovo S41-75 (80JR) , Acer TravelMate P6 (P645-MG)",,,63.13
