UID,Status,Group,Title,Price,Qty,Title_Issue
438607,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer C731 Chromebook LCD Assembly Replacement Laptop LCD LED Screen Display Monitor",99.99,,"Acer 11 C731 Chromebook LCD Assembly Replacement Laptop LCD LED Screen Display Monitor"
438608,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer CB3-131 Chromebook LCD Panel NEW Replacement Laptop LCD LED Screen Display Monitor",50,,"Acer 11 CB3-131 Chromebook LCD Panel - NEW Replacement Laptop LCD LED Screen Display Monitor"
438609,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer CB311-9H Chromebook LCD Panel Replacement Laptop LCD LED Screen Display Monitor",50,,"Acer 11 CB311-9H Chromebook LCD Panel - GRADE A Replacement Laptop LCD LED Screen Display Monitor"
438610,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer R751T Chromebook LCD Touch Screen Digitizer Module Replacement Laptop LCD LED Screen Display Monitor",90.99,,"Acer 11 R751T Chromebook LCD Touchscreen Digitizer Module Replacement Laptop LCD LED Screen Display Monitor"
438611,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer CB311 Chromebook LCD Panel Non Touch NEW Replacement Laptop LCD LED Screen Display Monitor",50,,"Acer 11 CB311 Chromebook LCD Panel, Non-Touch - NEW Replacement Laptop LCD LED Screen Display Monitor"
438566,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer C721-61PJ Chromebook LCD Panel Replacement Laptop LCD LED Screen Display Monitor",50,,"Acer 11 C721-61PJ Chromebook LCD Panel - GRADE A Replacement Laptop LCD LED Screen Display Monitor"
438612,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Asus CR1 Non Touch Chromebook LCD Panel Replacement Laptop LCD LED Screen Display Monitor",50,,"Asus 11 CR1 Non-Touch Chromebook LCD Panel Replacement Laptop LCD LED Screen Display Monitor"
438613,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Asus C203XA Chromebook LCD Panel Replacement Laptop LCD LED Screen Display Monitor",50,,"Asus 11 C203XA Chromebook LCD Panel Replacement Laptop LCD LED Screen Display Monitor"
438614,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Asus C204MA Chromebook LCD Panel Replacement Laptop LCD LED Screen Display Monitor",50,,"Asus 11 C204MA Chromebook LCD Panel Replacement Laptop LCD LED Screen Display Monitor"
,Discard,,"Asus 11 CR1 Chromebook Touchscreen Digitizer Module (30-pin, Stylus Compatible) Replacement Laptop LCD LED Screen Display Monitor",103.99,,Stylus
438615,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Asus 13 C300 Chromebook LCD Assembly Red/White Replacement Laptop LCD LED Screen Display Monitor",99.99,,"Asus 13 C300 Chromebook LCD Assembly, Red/White Replacement Laptop LCD LED Screen Display Monitor"
438616,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Asus C223N Chromebook LCD Panel NEW Replacement Laptop LCD LED Screen Display Monitor",50,,"Asus 11 C223N Chromebook LCD Panel - NEW Replacement Laptop LCD LED Screen Display Monitor"
438617,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Asus 13 C300 Chromebook LCD Assembly Black Replacement Laptop LCD LED Screen Display Monitor",99.99,,"Asus 13 C300 Chromebook LCD Assembly, Black Replacement Laptop LCD LED Screen Display Monitor"
438618,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Asus CX22NA Chromebook LCD Panel NEW Replacement Laptop LCD LED Screen Display Monitor",50,,"Asus 11 CX22NA Chromebook LCD Panel - NEW Replacement Laptop LCD LED Screen Display Monitor"
438619,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Asus C202SA Chromebook LCD Assembly Replacement Laptop LCD LED Screen Display Monitor",99.99,,"Asus 11 C202SA Chromebook LCD Assembly Replacement Laptop LCD LED Screen Display Monitor"
438620,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Asus 15 C523N Chromebook LCD Panel Replacement Laptop LCD LED Screen Display Monitor",99.99,,
438621,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Asus C200MA Chromebook LCD Assembly Replacement Laptop LCD LED Screen Display Monitor",59.99,,"Asus 11 C200MA Chromebook LCD Assembly Replacement Laptop LCD LED Screen Display Monitor"
,Discard,,"Asus 11 C213SA Chromebook LCD Touch Panel, Glossy - PULL Replacement Laptop LCD LED Screen Display Monitor",50,,Pull
438622,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Asus C202SA Chromebook LCD Assembly Dark Gray Replacement Laptop LCD LED Screen Display Monitor",99.99,,"Asus 11 C202SA Chromebook LCD Assembly, Dark Gray Replacement Laptop LCD LED Screen Display Monitor"
438623,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Asus C214MA Chromebook Touch Panel New Replacement Laptop LCD LED Screen Display Monitor",54,,"Asus 11 C214MA Chromebook Touch Panel - New Replacement Laptop LCD LED Screen Display Monitor"
438624,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Asus 14 C433TA Chromebook LCD Touch Screen Digitizer Module Replacement Laptop LCD LED Screen Display Monitor",130.99,,"Asus 14 C433TA Chromebook LCD Touchscreen Digitizer Module Replacement Laptop LCD LED Screen Display Monitor"
,Discard,,"Asus 11 C202SA Chromebook LCD Panel - PULL Replacement Laptop LCD LED Screen Display Monitor",50,,Pull
438625,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Asus C200MA Chromebook LCD Panel NEW Replacement Laptop LCD LED Screen Display Monitor",50,,"Asus 11 C200MA Chromebook LCD Panel - NEW Replacement Laptop LCD LED Screen Display Monitor"
,Discard,,"Asus 11 C201PA Chromebook LCD Panel - PULL Replacement Laptop LCD LED Screen Display Monitor",50,,Pull
438626,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Asus CX1100 Chromebook LCD Panel NEW Replacement Laptop LCD LED Screen Display Monitor",50,,"Asus 11 CX1100 Chromebook LCD Panel - NEW Replacement Laptop LCD LED Screen Display Monitor"
,Discard,,"Asus 11 C204E Chromebook LCD Panel - PULL Replacement Laptop LCD LED Screen Display Monitor",50,,Pull
438627,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Asus C203XA Chromebook LCD Panel NEW Replacement Laptop LCD LED Screen Display Monitor",50,,"Asus 11 C203XA Chromebook LCD Panel - NEW Replacement Laptop LCD LED Screen Display Monitor"
,Discard,,"Asus 11 C223N Chromebook LCD Panel - PULL Replacement Laptop LCD LED Screen Display Monitor",50,,Pull
438628,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Asus CX1100 Chromebook LCD Panel Replacement Laptop LCD LED Screen Display Monitor",50,,"Asus 11 CX1100 Chromebook LCD Panel - GRADE A Replacement Laptop LCD LED Screen Display Monitor"
,Discard,,"Asus 11 CX22NA Chromebook LCD Panel - PULL Replacement Laptop LCD LED Screen Display Monitor",50,,Pull
,"Dup title",,"Asus 11 CX22NA Chromebook LCD Panel - NEW Replacement Laptop LCD LED Screen Display Monitor",50,,"Line 67"
