UID,Status,Group,Title,Price,Qty,Title_Issue
433225,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP SPS Display HU 14.0"" HD Brightview Touch Screen PRW 734409-001 Replacement Screen Display",499,,"HP SPS-DSPLY HU 14.0 HD BV TS PRW 734409-001 Replacement Screen Display"
433226,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP SPS Display RAW PANEL 14.0"" WLED BV HD 734420-001 Replacement Screen Display",321.38,,"HP SPS-DSPLY RAW PANEL 14.0 WLED BV HD 734420-001 Replacement Screen Display"
433227,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP SPS Display HU 14.0"" HD Brightview Touch Screen MRB 736813-001 Replacement Screen Display",499,,"HP SPS-DSPLY HU 14.0 HD BV TS MRB 736813-001 Replacement Screen Display"
433228,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP SPS Display HU 14.0"" HD Brightview Touch Screen GJB 736814-001 Replacement Screen Display",499,,"HP SPS-DSPLY HU 14.0 HD BV TS GJB 736814-001 Replacement Screen Display"
,"Dup title",,"HP SPS-DSPLY HU 14.0 HD BV TS PRW 734409-001 Replacement Screen Display",499,,"Line 42"
,"Dup title",,"HP SPS-DSPLY RAW PANEL 14.0 WLED BV HD 734420-001 Replacement Screen Display",321.38,,"Line 43"
,"Dup title",,"HP SPS-DSPLY HU 14.0 HD BV TS MRB 736813-001 Replacement Screen Display",499,,"Line 44"
,"Dup title",,"HP SPS-DSPLY HU 14.0 HD BV TS GJB 736814-001 Replacement Screen Display",499,,"Line 45"
433229,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP SPS Display RAW PANEL 14 LED AG HD SVA TS 763567-001 Replacement Screen Display",311.28,,"HP SPS-DSPLY RAW PANEL 14 LED AG HD SVA TS 763567-001 Replacement Screen Display"
,"Dup title",,"HP SPS-DSPLY RAW PANEL 14 LED AG HD SVA TS 763567-001 Replacement Screen Display",311.28,,"Line 50"
,"Dup title",,"HP SPS-DSPLY RAW PANEL 14 LED AG HD SVA TS 763567-001 Replacement Screen Display",311.28,,"Line 50"
433230,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP SPS-RAW PANEL PNL14WQ?? OLED NB400B N10392-001 Replacement Screen Display",499,,
433231,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP RAW PANEL 14.0"" 2.8K BV OLED 400 N60119-001 Replacement Screen Display",499,,"HP RAW PANEL 14.0 2.8K BV OLED 400 N60119-001 Replacement Screen Display"
,"Dup title",,"HP SPS-DSPLY HU 14.0 HD BV TS PRW 734409-001 Replacement Screen Display",499,,"Line 42"
,"Dup title",,"HP SPS-DSPLY RAW PANEL 14.0 WLED BV HD 734420-001 Replacement Screen Display",321.38,,"Line 43"
,"Dup title",,"HP SPS-DSPLY HU 14.0 HD BV TS MRB 736813-001 Replacement Screen Display",499,,"Line 44"
,"Dup title",,"HP SPS-DSPLY HU 14.0 HD BV TS GJB 736814-001 Replacement Screen Display",499,,"Line 45"
,"Dup title",,"HP SPS-DSPLY HU 14.0 HD BV TS MRB 736813-001 Replacement Screen Display",499,,"Line 44"
,"Dup title",,"HP SPS-DSPLY HU 14.0 HD BV TS GJB 736814-001 Replacement Screen Display",499,,"Line 45"
,"Dup title",,"HP SPS-DSPLY HU 14.0 HD BV TS PRW 734409-001 Replacement Screen Display",499,,"Line 42"
,"Dup title",,"HP SPS-DSPLY RAW PANEL 14.0 WLED BV HD 734420-001 Replacement Screen Display",321.38,,"Line 43"
,"Dup title",,"HP SPS-DSPLY HU 14.0 HD BV TS MRB 736813-001 Replacement Screen Display",499,,"Line 44"
